evaluationIndex,f,Nu,NuBoundary,obj,x1,x2,x3,x4,x5,x6,x7,x8,grad1,grad2,grad3,grad4,grad5,grad6,grad7,grad8
1,1.311499402339712,8.168671946111226,8.254825782533898,-3.127945903507017,0.0125,-0.00469,0.0,-0.00625,0.0,0.0,0.0,0.0,-0.026513037505448978,-0.12389672347712377,-0.7205938475296492,-0.21217508528059703,-0.1462991094016708,0.06504168766863216,0.12379428130460113,-0.15612427028122156
2,1.3128756416253469,8.171622739882752,8.259729228133335,-3.1292067372647603,0.01252651303750545,-0.004566103276522876,0.0007205938475296492,-0.006037824914719403,0.0001462991094016708,-6.504168766863216e-5,-0.00012379428130460113,0.00015612427028122156,0.48444079462361955,-0.07411785074262767,-0.20394363034248464,0.06846233076762687,0.4652246397418569,0.24289394988241675,0.4168347989415011,0.15787400874334168
3,1.3186198920522594,8.178663128780599,8.275663543349832,-3.13203196156128,0.012632565187527246,-0.004070516382614381,0.003602969237648246,-0.005189124573597015,0.000731495547008354,-0.0003252084383431608,-0.0006189714065230056,0.0007806213514061078,0.4457610217301067,0.3489523085922208,0.05058410079028519,0.35689661594595634,0.026373106444044225,0.11525387043853641,0.14324509396912433,0.2531703143715536
4,1.3148966558356334,8.174227842364013,8.262007003501187,-3.1284107106473047,0.012564500470024149,-0.004388586142870882,0.001753048546497891,-0.005733824034677299,0.00035591400338729975,-0.00015823231966267097,-0.00030116463754133394,0.0003798164888970664,-0.09633520394225492,-0.3838208845643454,-1.308742938269436,-0.6555639662106927,-0.1214568690495188,-0.06373425902084229,-0.4984217457606466,-0.2578755446303038
5,1.316651098411938,8.175489234001493,8.268630341002904,-3.130218298979423,0.012623091134455474,-0.004155147900889023,0.0025490204776828207,-0.005335112797396452,0.0004297835585047138,-0.00011946941233226577,1.973364519074921e-6,0.0005366553067142368,0.3277190230837057,-0.05896712664887893,-0.8954955561246702,-0.34458083962563,-0.06819950039527178,0.17583713949664848,-0.5235451175440442,-0.30246582325221816
6,1.3237708915428912,8.181198392524744,8.282800606124386,-3.130719274430803,0.012857453792180774,-0.0032213949329615863,0.005732908202422539,-0.0037402678482730675,0.0007252617789743703,3.558221698935499e-5,0.0012145253727607103,0.0011640105779829185,0.38346668627986524,1.568753917571053,1.2683406467142166,1.7804472085372058,0.28204475245763305,0.5215989979541202,0.6532938402414867,0.6951191763830966
7,1.3187612494802734,8.177115665553462,8.275318805073084,-3.131705203888031,0.012693233122069662,-0.003875686617479932,0.0035019206347352335,-0.004857794457718455,0.0005182167153975565,-7.306428291022143e-5,0.00036487592232900204,0.000724415362407927,0.19774793097804277,0.4697239782704976,0.31493648125868745,0.8917776770178687,0.07173708538266155,0.15792794616786843,0.29299310325825445,0.7957731774781429
8,1.3296552790192648,8.183909141061577,8.29234752319875,-3.129969218957022,0.01141740026090634,-0.005525608312515638,0.01176161556665003,-0.008641598109172019,0.0008260099029845014,-0.001209591385851862,0.0016430069679397533,-0.005565979358275625,0.505023197372445,0.2911638204559086,1.0728548661551596,0.7038211480301371,-0.24605929604870624,0.31286399332919324,0.19301254685655245,-0.4387854288954163
9,1.3235479134911081,8.18260480172213,8.283932445941133,-3.1315509559360324,0.012102814559298096,-0.004639222677352516,0.007324268654667959,-0.006608829394743045,0.0006606545040592016,-0.0005990161682205625,0.000956358018420441,-0.0021865974538518673,0.21817257563028214,0.34569674988338406,0.32774828107173803,0.6422922806330611,-0.44795145444309625,-0.22784567851275028,-0.3359014157471307,0.2345297532762025
10,1.3211349630036473,8.17963969887871,8.279862257262586,-3.131774958952171,0.012398023840683878,-0.004257454647416224,0.005413094644701596,-0.00573331192623075,0.000589435609728379,-0.00033604022556539195,0.0006606169703747215,-0.0007310910457219702,-0.10103972509467596,0.5290749604620615,0.5721460955001589,0.7363806205966661,-0.3014790260191802,0.00706686007512225,0.23013752532041742,0.352242979585915
